rep_id, size, block_size, BLAS, MPI, grid, time, comm_time, comp_time
0, 64, 1, 0, 1, 6x6, 2.50999476, 0.659991507, 8.40300001e-06
1, 64, 1, 0, 1, 6x6, 2.27000491, 0.527997967, 8.67000001e-06
2, 64, 1, 0, 1, 6x6, 2.08387345, 0.452024203, 9.72000002e-06
3, 64, 1, 0, 1, 6x6, 2.37000361, 0.465002656, 8.596e-06
4, 64, 1, 0, 1, 6x6, 2.71099968, 0.528001478, 8.53699999e-06
5, 64, 1, 0, 1, 6x6, 2.89700262, 0.52800152, 8.58899998e-06
6, 64, 1, 0, 1, 6x6, 2.45999817, 0.462000953, 9.83800001e-06
7, 64, 1, 0, 1, 6x6, 2.57800124, 0.528007589, 8.61699999e-06
8, 64, 1, 0, 1, 6x6, 2.84600272, 0.531027445, 8.69000002e-06
9, 64, 1, 0, 1, 6x6, 2.63100852, 0.464019108, 8.53400002e-06
10, 64, 1, 0, 1, 6x6, 2.52000114, 0.660000817, 1.0101e-05
11, 64, 1, 0, 1, 6x6, 2.52100201, 0.59398944, 8.43299997e-06
12, 64, 1, 0, 1, 6x6, 2.77200051, 0.59799998, 8.39499996e-06
13, 64, 1, 0, 1, 6x6, 2.46700063, 0.5530078, 8.829e-06
14, 64, 1, 0, 1, 6x6, 2.04500177, 0.522983667, 9.83600005e-06
15, 64, 1, 0, 1, 6x6, 2.04800218, 0.459021911, 8.32999999e-06
16, 64, 1, 0, 1, 6x6, 2.17699778, 0.528005094, 8.387e-06
17, 64, 1, 0, 1, 6x6, 2.30588853, 0.462004031, 8.48399996e-06
18, 64, 1, 0, 1, 6x6, 2.50888396, 0.528009438, 9.81599999e-06
19, 64, 1, 0, 1, 6x6, 2.44288235, 0.462003396, 8.53099996e-06
20, 64, 1, 0, 1, 6x6, 2.16399902, 0.462007679, 8.37299999e-06
21, 64, 1, 0, 1, 6x6, 2.71600336, 0.660005904, 8.39499998e-06
22, 64, 1, 0, 1, 6x6, 2.89500042, 0.594003178, 9.64399993e-06
23, 64, 1, 0, 1, 6x6, 2.78399854, 0.528007252, 8.42499995e-06
24, 64, 1, 0, 1, 6x6, 2.71599774, 0.52797899, 9.18600004e-06
25, 64, 1, 0, 1, 6x6, 2.59886943, 0.530023526, 8.56400003e-06
26, 64, 1, 0, 1, 6x6, 2.47599849, 0.593015467, 9.91800005e-06
27, 64, 1, 0, 1, 6x6, 2.64000677, 0.598008888, 8.48999997e-06
28, 64, 1, 0, 1, 6x6, 1.41991407, 0.32991323, 1.2271e-05
29, 64, 1, 0, 1, 6x6, 1.30511906, 0.175578028, 0.000237296
