rep_id, size, block_size, BLAS, MPI, grid, time, comm_time, comp_time
0, 8, 1, 0, 1, 9x9, 3.29444896, 0.00214962, 1.54400002e-06
1, 8, 1, 0, 1, 9x9, 3.2956683, 0.003669305, 3.81999996e-07
2, 8, 1, 0, 1, 9x9, 3.29462764, 0.00335366, 3.80000003e-07
3, 8, 1, 0, 1, 9x9, 3.29443602, 0.003638996, 4.11999963e-07
4, 8, 1, 0, 1, 9x9, 3.2939268, 0.003434662, 3.82000025e-07
5, 8, 1, 0, 1, 9x9, 3.29361923, 0.00288236, 5.28900001e-06
6, 8, 1, 0, 1, 9x9, 3.29363022, 0.002952323, 3.81000021e-07
7, 8, 1, 0, 1, 9x9, 3.29332957, 0.002805704, 4.10999988e-07
8, 8, 1, 0, 1, 9x9, 3.2930419, 0.001875725, 3.81000007e-07
9, 8, 1, 0, 1, 9x9, 3.29347838, 0.002126826, 3.92000004e-07
10, 8, 1, 0, 1, 9x9, 3.29288638, 0.001880715, 4.11000002e-07
11, 8, 1, 0, 1, 9x9, 3.29288362, 0.001653705, 4.0999997e-07
12, 8, 1, 0, 1, 9x9, 3.29300491, 0.001889131, 3.70999999e-07
13, 8, 1, 0, 1, 9x9, 3.29316222, 0.002015515, 4.11000016e-07
14, 8, 1, 0, 1, 9x9, 3.29284069, 0.001999508, 3.70999999e-07
15, 8, 1, 0, 1, 9x9, 3.29404637, 0.002345893, 4.00999994e-07
16, 8, 1, 0, 1, 9x9, 3.2934594, 0.002234269, 3.81000007e-07
17, 8, 1, 0, 1, 9x9, 3.29281279, 0.002405574, 4.29999986e-07
18, 8, 1, 0, 1, 9x9, 3.2940342, 0.002294182, 4.01000023e-07
19, 8, 1, 0, 1, 9x9, 3.29389679, 0.00220283, 4.00999994e-07
20, 8, 1, 0, 1, 9x9, 3.29349549, 0.001875674, 3.61000005e-07
21, 8, 1, 0, 1, 9x9, 3.29419237, 0.002831616, 4.3e-07
22, 8, 1, 0, 1, 9x9, 3.2940235, 0.001838735, 4.10999974e-07
23, 8, 1, 0, 1, 9x9, 3.29304566, 0.001880564, 4.21999971e-07
24, 8, 1, 0, 1, 9x9, 3.29423809, 0.002321905, 3.70000009e-07
25, 8, 1, 0, 1, 9x9, 3.29521041, 0.00167797, 3.7999996e-07
26, 8, 1, 0, 1, 9x9, 3.29583033, 0.002150292, 3.61000048e-07
27, 8, 1, 0, 1, 9x9, 3.29607646, 0.002317576, 4.21000038e-07
28, 8, 1, 0, 1, 9x9, 3.29387778, 0.001417719, 3.89999968e-07
29, 8, 1, 0, 1, 9x9, 3.297953, 0.00296116, 4.0200004e-07
