rep_id, size, block_size, BLAS, MPI, grid, time, comm_time, comp_time
0, 512, 1, 0, 1, 15x15, 0.012936782, 0.012144504, 0.000280702
1, 512, 1, 0, 1, 15x15, 0.010612905, 0.009844962, 0.000271392
2, 512, 1, 0, 1, 15x15, 0.010620198, 0.009842729, 0.000280758
3, 512, 1, 0, 1, 15x15, 0.011078431, 0.010305521, 0.000272459
4, 512, 1, 0, 1, 15x15, 0.010677686, 0.009882995, 0.000277051
5, 512, 1, 0, 1, 15x15, 0.01069571, 0.00993071, 0.000274592
6, 512, 1, 0, 1, 15x15, 0.010670192, 0.009885553, 0.000289098
7, 512, 1, 0, 1, 15x15, 0.010683447, 0.009908446, 0.000277899
8, 512, 1, 0, 1, 15x15, 0.010972221, 0.010190628, 0.000279219
9, 512, 1, 0, 1, 15x15, 0.010687135, 0.009919837, 0.000282963
10, 512, 1, 0, 1, 15x15, 0.010745404, 0.009984251, 0.00027522
11, 512, 1, 0, 1, 15x15, 0.010630287, 0.00986826, 0.000271001
12, 512, 1, 0, 1, 15x15, 0.010735245, 0.009939264, 0.000279342
13, 512, 1, 0, 1, 15x15, 0.010684229, 0.009932474, 0.000275461
14, 512, 1, 0, 1, 15x15, 0.011076057, 0.010302531, 0.000273088
15, 512, 1, 0, 1, 15x15, 0.010692645, 0.00990248, 0.000279397
16, 512, 1, 0, 1, 15x15, 0.010690631, 0.009921849, 0.000277934
17, 512, 1, 0, 1, 15x15, 0.01064222, 0.009877436, 0.000272743
18, 512, 1, 0, 1, 15x15, 0.010727731, 0.009952027, 0.000276629
19, 512, 1, 0, 1, 15x15, 0.011026142, 0.010256091, 0.00027718
20, 512, 1, 0, 1, 15x15, 0.010648361, 0.00986502, 0.000292809
21, 512, 1, 0, 1, 15x15, 0.010644604, 0.00985796, 0.000286984
22, 512, 1, 0, 1, 15x15, 0.010660604, 0.009910491, 0.000275755
23, 512, 1, 0, 1, 15x15, 0.010703135, 0.009939776, 0.000275756
24, 512, 1, 0, 1, 15x15, 0.01060012, 0.009847061, 0.000285798
25, 512, 1, 0, 1, 15x15, 0.011049207, 0.010290028, 0.000288295
26, 512, 1, 0, 1, 15x15, 0.017807238, 0.016982973, 0.000274692
27, 512, 1, 0, 1, 15x15, 0.010842297, 0.010061699, 0.000280351
28, 512, 1, 0, 1, 15x15, 0.010609839, 0.009814833, 0.000272442
29, 512, 1, 0, 1, 15x15, 0.010715808, 0.009963233, 0.000278501
