rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 4096, 1024, 0, 1, 3x3, 1.44027131, 0.14597739, 1.35212054
1, 4096, 1024, 0, 1, 3x3, 1.5046478, 0.143207905, 1.40813235
2, 4096, 1024, 0, 1, 3x3, 1.7496694, 0.205161696, 1.64488997
3, 4096, 1024, 0, 1, 3x3, 1.71708529, 0.213702305, 1.5930825
4, 4096, 1024, 0, 1, 3x3, 1.65743101, 0.196562351, 1.57183441
5, 4096, 1024, 0, 1, 3x3, 1.69564259, 0.202018281, 1.59078311
6, 4096, 1024, 0, 1, 3x3, 2.07562418, 0.272634253, 1.95549287
7, 4096, 1024, 0, 1, 3x3, 1.96795799, 0.229653425, 1.85432309
8, 4096, 1024, 0, 1, 3x3, 1.85648404, 0.22511558, 1.74210882
9, 4096, 1024, 0, 1, 3x3, 1.80283123, 0.221774289, 1.68869525
10, 4096, 1024, 0, 1, 3x3, 1.81461506, 0.228182129, 1.69108085
11, 4096, 1024, 0, 1, 3x3, 1.85007138, 0.192789126, 1.74664666
12, 4096, 1024, 0, 1, 3x3, 1.92855888, 0.20498211, 1.82564933
13, 4096, 1024, 0, 1, 3x3, 1.99291266, 0.207977598, 1.89177323
14, 4096, 1024, 0, 1, 3x3, 2.049688, 0.22041687, 1.94528481
15, 4096, 1024, 0, 1, 3x3, 2.04009609, 0.236392157, 1.94689125
16, 4096, 1024, 0, 1, 3x3, 1.94077603, 0.243181447, 1.83593695
17, 4096, 1024, 0, 1, 3x3, 1.84922522, 0.22401843, 1.75507912
18, 4096, 1024, 0, 1, 3x3, 1.81758214, 0.213092671, 1.71622769
19, 4096, 1024, 0, 1, 3x3, 1.77126819, 0.203209658, 1.66742352
20, 4096, 1024, 0, 1, 3x3, 1.65102455, 0.23262324, 1.54887427
21, 4096, 1024, 0, 1, 3x3, 1.69043696, 0.181664592, 1.59584449
22, 4096, 1024, 0, 1, 3x3, 1.74757591, 0.205317425, 1.65802509
23, 4096, 1024, 0, 1, 3x3, 1.80476951, 0.205288596, 1.71865256
24, 4096, 1024, 0, 1, 3x3, 1.7247657, 0.182399189, 1.64135216
25, 4096, 1024, 0, 1, 3x3, 1.62778945, 0.183055344, 1.53513608
26, 4096, 1024, 0, 1, 3x3, 1.60392484, 0.166325039, 1.50166535
27, 4096, 1024, 0, 1, 3x3, 1.60483848, 0.172617085, 1.48555561
28, 4096, 1024, 0, 1, 3x3, 1.6023129, 0.178609779, 1.50258366
29, 4096, 1024, 0, 1, 3x3, 1.68523959, 0.18118922, 1.60452866
