rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 4, 2, 0, 1, 4x4, 7.9375e-05, 2.5709e-05, 1.53e-07
1, 4, 2, 0, 1, 4x4, 7.8571e-05, 2.5687e-05, 1.53e-07
2, 4, 2, 0, 1, 4x4, 0.000158352, 0.000104649, 1.65e-07
3, 4, 2, 0, 1, 4x4, 6.7601e-05, 1.9919e-05, 1.57e-07
4, 4, 2, 0, 1, 4x4, 6.9206e-05, 2.0532e-05, 1.55e-07
5, 4, 2, 0, 1, 4x4, 7.1341e-05, 2.283e-05, 1.54e-07
6, 4, 2, 0, 1, 4x4, 7.1323e-05, 2.3134e-05, 1.52e-07
7, 4, 2, 0, 1, 4x4, 6.9042e-05, 2.4063e-05, 1.61e-07
8, 4, 2, 0, 1, 4x4, 6.8299e-05, 2.2316e-05, 1.52e-07
9, 4, 2, 0, 1, 4x4, 6.8228e-05, 2.2366e-05, 1.57e-07
10, 4, 2, 0, 1, 4x4, 0.000125444, 7.2188e-05, 1.99e-07
11, 4, 2, 0, 1, 4x4, 7.469e-05, 2.7316e-05, 1.75e-07
12, 4, 2, 0, 1, 4x4, 6.9095e-05, 2.0621e-05, 1.45e-07
13, 4, 2, 0, 1, 4x4, 7.8213e-05, 3.1355e-05, 1.7e-07
14, 4, 2, 0, 1, 4x4, 7.0356e-05, 2.0495e-05, 1.6e-07
15, 4, 2, 0, 1, 4x4, 6.9967e-05, 2.2411e-05, 1.58e-07
16, 4, 2, 0, 1, 4x4, 7.0051e-05, 1.9241e-05, 1.46e-07
17, 4, 2, 0, 1, 4x4, 6.8553e-05, 2.0388e-05, 1.59e-07
18, 4, 2, 0, 1, 4x4, 6.9937e-05, 2.2646e-05, 1.45e-07
19, 4, 2, 0, 1, 4x4, 6.8172e-05, 2.1629e-05, 1.45e-07
20, 4, 2, 0, 1, 4x4, 6.8006e-05, 2.1302e-05, 1.5e-07
21, 4, 2, 0, 1, 4x4, 6.8337e-05, 2.2828e-05, 1.52e-07
22, 4, 2, 0, 1, 4x4, 6.7828e-05, 2.35e-05, 1.55e-07
23, 4, 2, 0, 1, 4x4, 6.8709e-05, 2.2963e-05, 1.45e-07
24, 4, 2, 0, 1, 4x4, 7.0794e-05, 2.3949e-05, 1.5e-07
25, 4, 2, 0, 1, 4x4, 6.7181e-05, 1.9565e-05, 1.47e-07
26, 4, 2, 0, 1, 4x4, 6.9631e-05, 2.1231e-05, 1.44e-07
27, 4, 2, 0, 1, 4x4, 0.000103151, 5.2477e-05, 1.78e-07
28, 4, 2, 0, 1, 4x4, 6.9096e-05, 2.0387e-05, 1.48e-07
29, 4, 2, 0, 1, 4x4, 7.0252e-05, 2.2967e-05, 1.56e-07
