rep_id,size,block_size,BLAS,MPI,grid,time
0, 2048, 2048, 0, 0, 1x1, 1.13066338
1, 2048, 2048, 0, 0, 1x1, 1.11198189
2, 2048, 2048, 0, 0, 1x1, 1.10544106
3, 2048, 2048, 0, 0, 1x1, 1.10858473
4, 2048, 2048, 0, 0, 1x1, 1.16149468
5, 2048, 2048, 0, 0, 1x1, 1.1606956
6, 2048, 2048, 0, 0, 1x1, 1.16057078
7, 2048, 2048, 0, 0, 1x1, 1.16076108
8, 2048, 2048, 0, 0, 1x1, 1.16544917
9, 2048, 2048, 0, 0, 1x1, 1.16154135
10, 2048, 2048, 0, 0, 1x1, 1.14883775
11, 2048, 2048, 0, 0, 1x1, 1.14880303
12, 2048, 2048, 0, 0, 1x1, 1.14927063
13, 2048, 2048, 0, 0, 1x1, 1.16317938
14, 2048, 2048, 0, 0, 1x1, 1.14838038
15, 2048, 2048, 0, 0, 1x1, 1.14843811
16, 2048, 2048, 0, 0, 1x1, 1.16378382
17, 2048, 2048, 0, 0, 1x1, 1.16143236
18, 2048, 2048, 0, 0, 1x1, 1.1481542
19, 2048, 2048, 0, 0, 1x1, 1.14785727
20, 2048, 2048, 0, 0, 1x1, 1.16212483
21, 2048, 2048, 0, 0, 1x1, 1.16166694
22, 2048, 2048, 0, 0, 1x1, 1.14811273
23, 2048, 2048, 0, 0, 1x1, 1.14740128
24, 2048, 2048, 0, 0, 1x1, 1.16133749
25, 2048, 2048, 0, 0, 1x1, 1.15372552
26, 2048, 2048, 0, 0, 1x1, 1.15945751
27, 2048, 2048, 0, 0, 1x1, 1.16711572
28, 2048, 2048, 0, 0, 1x1, 1.19186753
29, 2048, 2048, 0, 0, 1x1, 1.19109795
