rep_id,size,block_size,BLAS,MPI,grid,time
0, 2048, 8, 0, 0, 1x1, 3.69683026
1, 2048, 8, 0, 0, 1x1, 3.69332006
2, 2048, 8, 0, 0, 1x1, 3.81640918
3, 2048, 8, 0, 0, 1x1, 3.87260327
4, 2048, 8, 0, 0, 1x1, 3.9084315
5, 2048, 8, 0, 0, 1x1, 3.92847848
6, 2048, 8, 0, 0, 1x1, 3.96107862
7, 2048, 8, 0, 0, 1x1, 3.98654009
8, 2048, 8, 0, 0, 1x1, 3.96126093
9, 2048, 8, 0, 0, 1x1, 3.9283827
10, 2048, 8, 0, 0, 1x1, 3.92909083
11, 2048, 8, 0, 0, 1x1, 3.92126973
12, 2048, 8, 0, 0, 1x1, 3.93309555
13, 2048, 8, 0, 0, 1x1, 3.92699097
14, 2048, 8, 0, 0, 1x1, 3.89030829
15, 2048, 8, 0, 0, 1x1, 3.90971228
16, 2048, 8, 0, 0, 1x1, 3.93445734
17, 2048, 8, 0, 0, 1x1, 3.8920871
18, 2048, 8, 0, 0, 1x1, 3.91458956
19, 2048, 8, 0, 0, 1x1, 3.86259997
20, 2048, 8, 0, 0, 1x1, 3.8972744
21, 2048, 8, 0, 0, 1x1, 3.92882954
22, 2048, 8, 0, 0, 1x1, 3.86661483
23, 2048, 8, 0, 0, 1x1, 3.92438818
24, 2048, 8, 0, 0, 1x1, 3.88199273
25, 2048, 8, 0, 0, 1x1, 3.91303581
26, 2048, 8, 0, 0, 1x1, 3.89981095
27, 2048, 8, 0, 0, 1x1, 3.81365367
28, 2048, 8, 0, 0, 1x1, 3.92652413
29, 2048, 8, 0, 0, 1x1, 3.86453729
