rep_id,size,block_size,BLAS,MPI,grid,time
0, 2048, 128, 0, 0, 1x1, 0.891073903
1, 2048, 128, 0, 0, 1x1, 0.891320826
2, 2048, 128, 0, 0, 1x1, 0.895790476
3, 2048, 128, 0, 0, 1x1, 0.883515455
4, 2048, 128, 0, 0, 1x1, 0.890510826
5, 2048, 128, 0, 0, 1x1, 0.888573667
6, 2048, 128, 0, 0, 1x1, 0.881227174
7, 2048, 128, 0, 0, 1x1, 0.883592421
8, 2048, 128, 0, 0, 1x1, 0.884281263
9, 2048, 128, 0, 0, 1x1, 0.880712284
10, 2048, 128, 0, 0, 1x1, 0.892386321
11, 2048, 128, 0, 0, 1x1, 0.880423485
12, 2048, 128, 0, 0, 1x1, 0.883315398
13, 2048, 128, 0, 0, 1x1, 0.883463596
14, 2048, 128, 0, 0, 1x1, 0.880340375
15, 2048, 128, 0, 0, 1x1, 0.880035435
16, 2048, 128, 0, 0, 1x1, 0.886210428
17, 2048, 128, 0, 0, 1x1, 0.880228349
18, 2048, 128, 0, 0, 1x1, 0.881181507
19, 2048, 128, 0, 0, 1x1, 0.884886657
20, 2048, 128, 0, 0, 1x1, 0.886354772
21, 2048, 128, 0, 0, 1x1, 0.88058998
22, 2048, 128, 0, 0, 1x1, 0.882170473
23, 2048, 128, 0, 0, 1x1, 0.879958091
24, 2048, 128, 0, 0, 1x1, 0.886637074
25, 2048, 128, 0, 0, 1x1, 0.882906079
26, 2048, 128, 0, 0, 1x1, 0.879565452
27, 2048, 128, 0, 0, 1x1, 0.881181078
28, 2048, 128, 0, 0, 1x1, 0.880264515
29, 2048, 128, 0, 0, 1x1, 0.881117941
