rep_id,size,block_size,BLAS,MPI,grid,time
0, 1024, 8, 0, 0, 1x1, 0.344158838
1, 1024, 8, 0, 0, 1x1, 0.343694436
2, 1024, 8, 0, 0, 1x1, 0.347843685
3, 1024, 8, 0, 0, 1x1, 0.355965244
4, 1024, 8, 0, 0, 1x1, 0.34618484
5, 1024, 8, 0, 0, 1x1, 0.350039792
6, 1024, 8, 0, 0, 1x1, 0.352259059
7, 1024, 8, 0, 0, 1x1, 0.344265202
8, 1024, 8, 0, 0, 1x1, 0.344824877
9, 1024, 8, 0, 0, 1x1, 0.355239235
10, 1024, 8, 0, 0, 1x1, 0.344261976
11, 1024, 8, 0, 0, 1x1, 0.34894515
12, 1024, 8, 0, 0, 1x1, 0.346836404
13, 1024, 8, 0, 0, 1x1, 0.349946224
14, 1024, 8, 0, 0, 1x1, 0.355356971
15, 1024, 8, 0, 0, 1x1, 0.344658974
16, 1024, 8, 0, 0, 1x1, 0.345961667
17, 1024, 8, 0, 0, 1x1, 0.346485384
18, 1024, 8, 0, 0, 1x1, 0.350565226
19, 1024, 8, 0, 0, 1x1, 0.346098994
20, 1024, 8, 0, 0, 1x1, 0.349893655
21, 1024, 8, 0, 0, 1x1, 0.349022838
22, 1024, 8, 0, 0, 1x1, 0.345778501
23, 1024, 8, 0, 0, 1x1, 0.347911317
24, 1024, 8, 0, 0, 1x1, 0.348200777
25, 1024, 8, 0, 0, 1x1, 0.348002143
26, 1024, 8, 0, 0, 1x1, 0.346101796
27, 1024, 8, 0, 0, 1x1, 0.345597421
28, 1024, 8, 0, 0, 1x1, 0.350004494
29, 1024, 8, 0, 0, 1x1, 0.348804024
