rep_id,size,block_size,BLAS,MPI,grid,time
0, 64, 64, 1, 0, 1x1, 6.292e-06
1, 64, 64, 1, 0, 1x1, 5.523e-06
2, 64, 64, 1, 0, 1x1, 6.453e-06
3, 64, 64, 1, 0, 1x1, 5.51e-06
4, 64, 64, 1, 0, 1x1, 6.164e-06
5, 64, 64, 1, 0, 1x1, 5.481e-06
6, 64, 64, 1, 0, 1x1, 6.085e-06
7, 64, 64, 1, 0, 1x1, 5.499e-06
8, 64, 64, 1, 0, 1x1, 6.097e-06
9, 64, 64, 1, 0, 1x1, 6.105e-06
10, 64, 64, 1, 0, 1x1, 6.133e-06
11, 64, 64, 1, 0, 1x1, 6.083e-06
12, 64, 64, 1, 0, 1x1, 6.107e-06
13, 64, 64, 1, 0, 1x1, 6.076e-06
14, 64, 64, 1, 0, 1x1, 6.145e-06
15, 64, 64, 1, 0, 1x1, 6.064e-06
16, 64, 64, 1, 0, 1x1, 6.074e-06
17, 64, 64, 1, 0, 1x1, 6.108e-06
18, 64, 64, 1, 0, 1x1, 6.207e-06
19, 64, 64, 1, 0, 1x1, 6.101e-06
20, 64, 64, 1, 0, 1x1, 6.088e-06
21, 64, 64, 1, 0, 1x1, 6.163e-06
22, 64, 64, 1, 0, 1x1, 6.087e-06
23, 64, 64, 1, 0, 1x1, 6.084e-06
24, 64, 64, 1, 0, 1x1, 6.073e-06
25, 64, 64, 1, 0, 1x1, 6.102e-06
26, 64, 64, 1, 0, 1x1, 6.112e-06
27, 64, 64, 1, 0, 1x1, 6.095e-06
28, 64, 64, 1, 0, 1x1, 6.101e-06
29, 64, 64, 1, 0, 1x1, 6.118e-06
