rep_id,size,block_size,BLAS,MPI,grid,time
0, 4, 4, 0, 0, 1x1, 2.51e-07
1, 4, 4, 0, 0, 1x1, 9.1e-08
2, 4, 4, 0, 0, 1x1, 1.42e-07
3, 4, 4, 0, 0, 1x1, 1.47e-07
4, 4, 4, 0, 0, 1x1, 9.1e-08
5, 4, 4, 0, 0, 1x1, 1.46e-07
6, 4, 4, 0, 0, 1x1, 1.26e-07
7, 4, 4, 0, 0, 1x1, 1.12e-07
8, 4, 4, 0, 0, 1x1, 1.45e-07
9, 4, 4, 0, 0, 1x1, 1.5e-07
10, 4, 4, 0, 0, 1x1, 1.27e-07
11, 4, 4, 0, 0, 1x1, 1.42e-07
12, 4, 4, 0, 0, 1x1, 1.13e-07
13, 4, 4, 0, 0, 1x1, 8.5e-08
14, 4, 4, 0, 0, 1x1, 8.7e-08
15, 4, 4, 0, 0, 1x1, 9.10000001e-08
16, 4, 4, 0, 0, 1x1, 8.8e-08
17, 4, 4, 0, 0, 1x1, 8.7e-08
18, 4, 4, 0, 0, 1x1, 9.1e-08
19, 4, 4, 0, 0, 1x1, 8.6e-08
20, 4, 4, 0, 0, 1x1, 8.4e-08
21, 4, 4, 0, 0, 1x1, 8.3e-08
22, 4, 4, 0, 0, 1x1, 8.5e-08
23, 4, 4, 0, 0, 1x1, 8.4e-08
24, 4, 4, 0, 0, 1x1, 1.21e-07
25, 4, 4, 0, 0, 1x1, 8.3e-08
26, 4, 4, 0, 0, 1x1, 1.56e-07
27, 4, 4, 0, 0, 1x1, 1.43e-07
28, 4, 4, 0, 0, 1x1, 9.4e-08
29, 4, 4, 0, 0, 1x1, 1.66e-07
