rep_id, size, block_size, BLAS, MPI, grid, time
0, 4096, 8, 0, 0, 1x1, 79.2900806
1, 4096, 8, 0, 0, 1x1, 79.1995355
2, 4096, 8, 0, 0, 1x1, 79.1801789
3, 4096, 8, 0, 0, 1x1, 79.1775115
4, 4096, 8, 0, 0, 1x1, 79.1125366
5, 4096, 8, 0, 0, 1x1, 79.1189691
6, 4096, 8, 0, 0, 1x1, 79.0627033
7, 4096, 8, 0, 0, 1x1, 78.9640401
8, 4096, 8, 0, 0, 1x1, 78.655768
9, 4096, 8, 0, 0, 1x1, 78.8426854
10, 4096, 8, 0, 0, 1x1, 78.8628637
11, 4096, 8, 0, 0, 1x1, 78.8094824
12, 4096, 8, 0, 0, 1x1, 78.9067443
13, 4096, 8, 0, 0, 1x1, 78.7781297
14, 4096, 8, 0, 0, 1x1, 78.9019724
15, 4096, 8, 0, 0, 1x1, 78.7657694
16, 4096, 8, 0, 0, 1x1, 78.9421673
17, 4096, 8, 0, 0, 1x1, 78.8352822
18, 4096, 8, 0, 0, 1x1, 78.7285931
19, 4096, 8, 0, 0, 1x1, 78.8727301
20, 4096, 8, 0, 0, 1x1, 79.0447256
21, 4096, 8, 0, 0, 1x1, 78.8631556
22, 4096, 8, 0, 0, 1x1, 78.8677553
23, 4096, 8, 0, 0, 1x1, 78.7349429
24, 4096, 8, 0, 0, 1x1, 78.8653506
25, 4096, 8, 0, 0, 1x1, 78.8506669
26, 4096, 8, 0, 0, 1x1, 78.8185181
27, 4096, 8, 0, 0, 1x1, 78.787734
28, 4096, 8, 0, 0, 1x1, 78.9242027
29, 4096, 8, 0, 0, 1x1, 78.8228713
