rep_id, size, block_size, BLAS, MPI, grid, time
0, 512, 2, 0, 0, 1x1, 0.441538538
1, 512, 2, 0, 0, 1x1, 0.443815662
2, 512, 2, 0, 0, 1x1, 0.448075591
3, 512, 2, 0, 0, 1x1, 0.497851407
4, 512, 2, 0, 0, 1x1, 0.457752736
5, 512, 2, 0, 0, 1x1, 0.463505891
6, 512, 2, 0, 0, 1x1, 0.50277528
7, 512, 2, 0, 0, 1x1, 0.452817062
8, 512, 2, 0, 0, 1x1, 0.460078852
9, 512, 2, 0, 0, 1x1, 0.492863315
10, 512, 2, 0, 0, 1x1, 0.451441575
11, 512, 2, 0, 0, 1x1, 0.464083132
12, 512, 2, 0, 0, 1x1, 0.491992174
13, 512, 2, 0, 0, 1x1, 0.448287158
14, 512, 2, 0, 0, 1x1, 0.47067563
15, 512, 2, 0, 0, 1x1, 0.48823662
16, 512, 2, 0, 0, 1x1, 0.444444681
17, 512, 2, 0, 0, 1x1, 0.494650493
18, 512, 2, 0, 0, 1x1, 0.485832978
19, 512, 2, 0, 0, 1x1, 0.450034571
20, 512, 2, 0, 0, 1x1, 0.487493197
21, 512, 2, 0, 0, 1x1, 0.472205574
22, 512, 2, 0, 0, 1x1, 0.443266665
23, 512, 2, 0, 0, 1x1, 0.508957569
24, 512, 2, 0, 0, 1x1, 0.462287328
25, 512, 2, 0, 0, 1x1, 0.439527281
26, 512, 2, 0, 0, 1x1, 0.504951646
27, 512, 2, 0, 0, 1x1, 0.465623868
28, 512, 2, 0, 0, 1x1, 0.443725334
29, 512, 2, 0, 0, 1x1, 0.498961927
