rep_id, size, block_size, BLAS, MPI, grid, time
0, 256, 4, 0, 0, 1x1, 0.018368643
1, 256, 4, 0, 0, 1x1, 0.018483829
2, 256, 4, 0, 0, 1x1, 0.018445747
3, 256, 4, 0, 0, 1x1, 0.018775605
4, 256, 4, 0, 0, 1x1, 0.018430839
5, 256, 4, 0, 0, 1x1, 0.018151377
6, 256, 4, 0, 0, 1x1, 0.017904553
7, 256, 4, 0, 0, 1x1, 0.017532827
8, 256, 4, 0, 0, 1x1, 0.017194323
9, 256, 4, 0, 0, 1x1, 0.016852794
10, 256, 4, 0, 0, 1x1, 0.016554685
11, 256, 4, 0, 0, 1x1, 0.016695489
12, 256, 4, 0, 0, 1x1, 0.01637527
13, 256, 4, 0, 0, 1x1, 0.016579362
14, 256, 4, 0, 0, 1x1, 0.016390999
15, 256, 4, 0, 0, 1x1, 0.016722791
16, 256, 4, 0, 0, 1x1, 0.016533386
17, 256, 4, 0, 0, 1x1, 0.016424121
18, 256, 4, 0, 0, 1x1, 0.016714264
19, 256, 4, 0, 0, 1x1, 0.016162862
20, 256, 4, 0, 0, 1x1, 0.016623815
21, 256, 4, 0, 0, 1x1, 0.016957269
22, 256, 4, 0, 0, 1x1, 0.016507878
23, 256, 4, 0, 0, 1x1, 0.017296455
24, 256, 4, 0, 0, 1x1, 0.017025347
25, 256, 4, 0, 0, 1x1, 0.016184011
26, 256, 4, 0, 0, 1x1, 0.016928526
27, 256, 4, 0, 0, 1x1, 0.01699475
28, 256, 4, 0, 0, 1x1, 0.016600952
29, 256, 4, 0, 0, 1x1, 0.017468618
