rep_id, size, block_size, BLAS, MPI, grid, time
0, 2048, 4, 0, 0, 1x1, 14.8921498
1, 2048, 4, 0, 0, 1x1, 14.7764049
2, 2048, 4, 0, 0, 1x1, 14.8248462
3, 2048, 4, 0, 0, 1x1, 14.5723007
4, 2048, 4, 0, 0, 1x1, 14.6144713
5, 2048, 4, 0, 0, 1x1, 14.7682828
6, 2048, 4, 0, 0, 1x1, 14.7040998
7, 2048, 4, 0, 0, 1x1, 14.5422641
8, 2048, 4, 0, 0, 1x1, 14.7481072
9, 2048, 4, 0, 0, 1x1, 14.6310886
10, 2048, 4, 0, 0, 1x1, 14.811324
11, 2048, 4, 0, 0, 1x1, 14.3982055
12, 2048, 4, 0, 0, 1x1, 14.691112
13, 2048, 4, 0, 0, 1x1, 14.5358696
14, 2048, 4, 0, 0, 1x1, 14.7956118
15, 2048, 4, 0, 0, 1x1, 14.4082911
16, 2048, 4, 0, 0, 1x1, 14.6403321
17, 2048, 4, 0, 0, 1x1, 14.5228624
18, 2048, 4, 0, 0, 1x1, 14.4545737
19, 2048, 4, 0, 0, 1x1, 14.3768997
20, 2048, 4, 0, 0, 1x1, 14.7224943
21, 2048, 4, 0, 0, 1x1, 14.6075584
22, 2048, 4, 0, 0, 1x1, 14.5134022
23, 2048, 4, 0, 0, 1x1, 14.4749294
24, 2048, 4, 0, 0, 1x1, 14.496699
25, 2048, 4, 0, 0, 1x1, 14.6963378
26, 2048, 4, 0, 0, 1x1, 14.5666546
27, 2048, 4, 0, 0, 1x1, 14.372345
28, 2048, 4, 0, 0, 1x1, 14.5170242
29, 2048, 4, 0, 0, 1x1, 14.5174228
