rep_id, size, block_size, BLAS, MPI, grid, time
0, 1024, 512, 0, 0, 1x1, 0.17076487
1, 1024, 512, 0, 0, 1x1, 0.172197585
2, 1024, 512, 0, 0, 1x1, 0.193270378
3, 1024, 512, 0, 0, 1x1, 0.196950673
4, 1024, 512, 0, 0, 1x1, 0.175548182
5, 1024, 512, 0, 0, 1x1, 0.176033722
6, 1024, 512, 0, 0, 1x1, 0.170224758
7, 1024, 512, 0, 0, 1x1, 0.166600969
8, 1024, 512, 0, 0, 1x1, 0.179097783
9, 1024, 512, 0, 0, 1x1, 0.201794808
10, 1024, 512, 0, 0, 1x1, 0.180304844
11, 1024, 512, 0, 0, 1x1, 0.172263017
12, 1024, 512, 0, 0, 1x1, 0.170760042
13, 1024, 512, 0, 0, 1x1, 0.166227679
14, 1024, 512, 0, 0, 1x1, 0.170399515
15, 1024, 512, 0, 0, 1x1, 0.202655891
16, 1024, 512, 0, 0, 1x1, 0.189930279
17, 1024, 512, 0, 0, 1x1, 0.172412357
18, 1024, 512, 0, 0, 1x1, 0.174013837
19, 1024, 512, 0, 0, 1x1, 0.170442466
20, 1024, 512, 0, 0, 1x1, 0.166274687
21, 1024, 512, 0, 0, 1x1, 0.182303599
22, 1024, 512, 0, 0, 1x1, 0.203112097
23, 1024, 512, 0, 0, 1x1, 0.179365244
24, 1024, 512, 0, 0, 1x1, 0.175889822
25, 1024, 512, 0, 0, 1x1, 0.172823086
26, 1024, 512, 0, 0, 1x1, 0.173913269
27, 1024, 512, 0, 0, 1x1, 0.167762033
28, 1024, 512, 0, 0, 1x1, 0.199077818
29, 1024, 512, 0, 0, 1x1, 0.186220688
