rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 128, 1, 1, 1, 5x5, 0.000499205, 0.000360647, 6.1912e-05
1, 128, 1, 1, 1, 5x5, 0.00048466, 0.000353087, 5.4206e-05
2, 128, 1, 1, 1, 5x5, 0.000557744, 0.000414001, 5.2052e-05
3, 128, 1, 1, 1, 5x5, 0.000478019, 0.000356755, 4.9238e-05
4, 128, 1, 1, 1, 5x5, 0.000500769, 0.000373425, 5.2421e-05
5, 128, 1, 1, 1, 5x5, 0.000473187, 0.000353786, 5.0993e-05
6, 128, 1, 1, 1, 5x5, 0.000480979, 0.000358077, 5.0128e-05
7, 128, 1, 1, 1, 5x5, 0.000470844, 0.000351816, 4.9176e-05
8, 128, 1, 1, 1, 5x5, 0.000468605, 0.000351895, 5.1786e-05
9, 128, 1, 1, 1, 5x5, 0.000451941, 0.000337557, 5.1458e-05
10, 128, 1, 1, 1, 5x5, 0.000555076, 0.000419525, 5.3467e-05
11, 128, 1, 1, 1, 5x5, 0.000471234, 0.000357077, 5.2422e-05
12, 128, 1, 1, 1, 5x5, 0.000476776, 0.000360629, 4.9466e-05
13, 128, 1, 1, 1, 5x5, 0.000474619, 0.00035447, 5.123e-05
14, 128, 1, 1, 1, 5x5, 0.000470246, 0.000343601, 5.4003e-05
15, 128, 1, 1, 1, 5x5, 0.000461269, 0.000347426, 4.9899e-05
16, 128, 1, 1, 1, 5x5, 0.000472388, 0.00035551, 5.1395e-05
17, 128, 1, 1, 1, 5x5, 0.000457735, 0.000345882, 5.6416e-05
18, 128, 1, 1, 1, 5x5, 0.000475821, 0.000355996, 4.9566e-05
19, 128, 1, 1, 1, 5x5, 0.000476677, 0.000337091, 7.7297e-05
20, 128, 1, 1, 1, 5x5, 0.000483694, 0.000366097, 5.176e-05
21, 128, 1, 1, 1, 5x5, 0.000467006, 0.000348967, 4.9067e-05
22, 128, 1, 1, 1, 5x5, 0.000472004, 0.000354391, 5.0003e-05
23, 128, 1, 1, 1, 5x5, 0.000469267, 0.000352656, 4.9646e-05
24, 128, 1, 1, 1, 5x5, 0.000454387, 0.000338385, 4.9176e-05
25, 128, 1, 1, 1, 5x5, 0.000462202, 0.000347059, 4.8431e-05
26, 128, 1, 1, 1, 5x5, 0.000465109, 0.000343113, 5.0762e-05
27, 128, 1, 1, 1, 5x5, 0.000467439, 0.000352564, 5.193e-05
28, 128, 1, 1, 1, 5x5, 0.000462969, 0.000345287, 5.3628e-05
29, 128, 1, 1, 1, 5x5, 0.000480961, 0.00036305, 5.1352e-05
