rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 256, 64, 1, 1, 3x3, 0.000580455, 0.000451318, 8.2339e-05
1, 256, 64, 1, 1, 3x3, 0.000590019, 0.000457588, 7.6626e-05
2, 256, 64, 1, 1, 3x3, 0.00056377, 0.00044118, 6.9856e-05
3, 256, 64, 1, 1, 3x3, 0.00056596, 0.00044938, 6.9744e-05
4, 256, 64, 1, 1, 3x3, 0.000551074, 0.000432682, 7.3703e-05
5, 256, 64, 1, 1, 3x3, 0.000548507, 0.00043503, 7.0795e-05
6, 256, 64, 1, 1, 3x3, 0.000558626, 0.000444292, 7.0801e-05
7, 256, 64, 1, 1, 3x3, 0.000557793, 0.000436815, 8.0738e-05
8, 256, 64, 1, 1, 3x3, 0.000571241, 0.000455502, 7.0659e-05
9, 256, 64, 1, 1, 3x3, 0.000547347, 0.000433293, 6.8657e-05
10, 256, 64, 1, 1, 3x3, 0.00056178, 0.000446605, 6.8722e-05
11, 256, 64, 1, 1, 3x3, 0.000555243, 0.000437354, 6.7953e-05
12, 256, 64, 1, 1, 3x3, 0.000560982, 0.000444024, 7.3783e-05
13, 256, 64, 1, 1, 3x3, 0.000551039, 0.000434937, 6.8388e-05
14, 256, 64, 1, 1, 3x3, 0.0005679, 0.000452999, 7.0625e-05
15, 256, 64, 1, 1, 3x3, 0.000559052, 0.000435238, 7.0725e-05
16, 256, 64, 1, 1, 3x3, 0.0005855, 0.000470438, 7.2373e-05
17, 256, 64, 1, 1, 3x3, 0.000558349, 0.000441631, 7.0949e-05
18, 256, 64, 1, 1, 3x3, 0.000567405, 0.000452397, 7.0713e-05
19, 256, 64, 1, 1, 3x3, 0.000552172, 0.00043832, 6.8633e-05
20, 256, 64, 1, 1, 3x3, 0.000565012, 0.000451735, 7.3649e-05
21, 256, 64, 1, 1, 3x3, 0.000569346, 0.00044541, 7.3992e-05
22, 256, 64, 1, 1, 3x3, 0.000552022, 0.000430921, 7.8129e-05
23, 256, 64, 1, 1, 3x3, 0.000550065, 0.000428274, 6.99e-05
24, 256, 64, 1, 1, 3x3, 0.000562499, 0.000446515, 6.7895e-05
25, 256, 64, 1, 1, 3x3, 0.000552119, 0.00043554, 7.0162e-05
26, 256, 64, 1, 1, 3x3, 0.000553259, 0.000439679, 6.7224e-05
27, 256, 64, 1, 1, 3x3, 0.000548105, 0.000431481, 7.0782e-05
28, 256, 64, 1, 1, 3x3, 0.00054852, 0.000435213, 7.0626e-05
29, 256, 64, 1, 1, 3x3, 0.000568474, 0.000447554, 7.8014e-05
