rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 8, 1, 1, 1, 2x2, 4.8073e-05, 1.4135e-05, 3.048e-06
1, 8, 1, 1, 1, 2x2, 5.5467e-05, 1.4553e-05, 3.682e-06
2, 8, 1, 1, 1, 2x2, 4.5234e-05, 1.1206e-05, 3.115e-06
3, 8, 1, 1, 1, 2x2, 5.0238e-05, 1.1029e-05, 2.235e-06
4, 8, 1, 1, 1, 2x2, 4.4538e-05, 9.471e-06, 3.447e-06
5, 8, 1, 1, 1, 2x2, 4.5735e-05, 1.0906e-05, 3.074e-06
6, 8, 1, 1, 1, 2x2, 4.5505e-05, 9.462e-06, 2.797e-06
7, 8, 1, 1, 1, 2x2, 4.6573e-05, 1.1615e-05, 4.155e-06
8, 8, 1, 1, 1, 2x2, 4.7288e-05, 1.0242e-05, 3.661e-06
9, 8, 1, 1, 1, 2x2, 4.3585e-05, 9.427e-06, 3.833e-06
10, 8, 1, 1, 1, 2x2, 4.2756e-05, 8.727e-06, 3.597e-06
11, 8, 1, 1, 1, 2x2, 4.6842e-05, 1.1505e-05, 3.523e-06
12, 8, 1, 1, 1, 2x2, 4.6725e-05, 1.1946e-05, 4.336e-06
13, 8, 1, 1, 1, 2x2, 4.6043e-05, 1.0574e-05, 3.169e-06
14, 8, 1, 1, 1, 2x2, 4.5229e-05, 9.68e-06, 3.319e-06
15, 8, 1, 1, 1, 2x2, 4.8852e-05, 1.2699e-05, 3.674e-06
16, 8, 1, 1, 1, 2x2, 5.1741e-05, 1.3005e-05, 4.348e-06
17, 8, 1, 1, 1, 2x2, 4.8482e-05, 1.1772e-05, 4.359e-06
18, 8, 1, 1, 1, 2x2, 4.7642e-05, 1.3254e-05, 3.106e-06
19, 8, 1, 1, 1, 2x2, 4.684e-05, 1.1176e-05, 3.26e-06
20, 8, 1, 1, 1, 2x2, 4.7349e-05, 1.181e-05, 3.142e-06
21, 8, 1, 1, 1, 2x2, 4.6439e-05, 1.1206e-05, 3.3e-06
22, 8, 1, 1, 1, 2x2, 4.6494e-05, 1.1804e-05, 3.543e-06
23, 8, 1, 1, 1, 2x2, 4.5842e-05, 1.1064e-05, 3.25e-06
24, 8, 1, 1, 1, 2x2, 4.625e-05, 1.1549e-05, 3.24e-06
25, 8, 1, 1, 1, 2x2, 4.6515e-05, 1.1554e-05, 2.958e-06
26, 8, 1, 1, 1, 2x2, 4.996e-05, 1.1936e-05, 4e-06
27, 8, 1, 1, 1, 2x2, 5.9362e-05, 1.303e-05, 4.154e-06
28, 8, 1, 1, 1, 2x2, 4.741e-05, 1.0048e-05, 3.672e-06
29, 8, 1, 1, 1, 2x2, 4.6246e-05, 1.1493e-05, 3.593e-06
