rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 16, 1, 1, 1, 2x2, 5.8569e-05, 1.513e-05, 7.248e-06
1, 16, 1, 1, 1, 2x2, 7.7826e-05, 3.5247e-05, 1.8124e-05
2, 16, 1, 1, 1, 2x2, 5.7605e-05, 1.8249e-05, 5.862e-06
3, 16, 1, 1, 1, 2x2, 6.0325e-05, 1.8667e-05, 7.679e-06
4, 16, 1, 1, 1, 2x2, 5.5949e-05, 1.4746e-05, 6.534e-06
5, 16, 1, 1, 1, 2x2, 5.7118e-05, 1.4841e-05, 6.687e-06
6, 16, 1, 1, 1, 2x2, 6.0367e-05, 1.9146e-05, 8.381e-06
7, 16, 1, 1, 1, 2x2, 5.7003e-05, 1.5721e-05, 7.389e-06
8, 16, 1, 1, 1, 2x2, 5.4472e-05, 1.4417e-05, 7.425e-06
9, 16, 1, 1, 1, 2x2, 6.3545e-05, 2.4469e-05, 9.39e-06
10, 16, 1, 1, 1, 2x2, 5.876e-05, 1.8292e-05, 8.703e-06
11, 16, 1, 1, 1, 2x2, 6.013e-05, 2.193e-05, 9.507e-06
12, 16, 1, 1, 1, 2x2, 5.4688e-05, 1.8086e-05, 6.837e-06
13, 16, 1, 1, 1, 2x2, 6.7608e-05, 3.266e-05, 2.0894e-05
14, 16, 1, 1, 1, 2x2, 5.6072e-05, 1.7912e-05, 8.233e-06
15, 16, 1, 1, 1, 2x2, 6.7225e-05, 2.0382e-05, 7.011e-06
16, 16, 1, 1, 1, 2x2, 5.8612e-05, 1.9625e-05, 7.265e-06
17, 16, 1, 1, 1, 2x2, 5.4628e-05, 1.6264e-05, 5.519e-06
18, 16, 1, 1, 1, 2x2, 5.3606e-05, 1.7252e-05, 8.327e-06
19, 16, 1, 1, 1, 2x2, 5.4641e-05, 1.4824e-05, 7.776e-06
20, 16, 1, 1, 1, 2x2, 5.3773e-05, 1.639e-05, 6.554e-06
21, 16, 1, 1, 1, 2x2, 5.6141e-05, 1.7602e-05, 7.461e-06
22, 16, 1, 1, 1, 2x2, 5.9243e-05, 1.9451e-05, 8.598e-06
23, 16, 1, 1, 1, 2x2, 5.581e-05, 1.6949e-05, 7.258e-06
24, 16, 1, 1, 1, 2x2, 5.6961e-05, 2.2108e-05, 7.693e-06
25, 16, 1, 1, 1, 2x2, 5.6293e-05, 1.7921e-05, 7.523e-06
26, 16, 1, 1, 1, 2x2, 5.6841e-05, 2.1927e-05, 8.806e-06
27, 16, 1, 1, 1, 2x2, 5.9967e-05, 1.9648e-05, 8.979e-06
28, 16, 1, 1, 1, 2x2, 5.7302e-05, 1.9414e-05, 8.95e-06
29, 16, 1, 1, 1, 2x2, 7.4257e-05, 2.6426e-05, 1.4555e-05
