rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 4096, 2, 1, 1, 6x6, 0.207578922, 0.099583928, 0.113739307
1, 4096, 2, 1, 1, 6x6, 0.208367538, 0.100833371, 0.113850999
2, 4096, 2, 1, 1, 6x6, 0.211429972, 0.102630505, 0.113560953
3, 4096, 2, 1, 1, 6x6, 0.206522761, 0.098441646, 0.113176333
4, 4096, 2, 1, 1, 6x6, 0.208179744, 0.100131528, 0.11371841
5, 4096, 2, 1, 1, 6x6, 0.215251843, 0.106172041, 0.113839209
6, 4096, 2, 1, 1, 6x6, 0.20828059, 0.100597645, 0.113354952
7, 4096, 2, 1, 1, 6x6, 0.207601422, 0.100005136, 0.113652755
8, 4096, 2, 1, 1, 6x6, 0.208151617, 0.099818349, 0.113748246
9, 4096, 2, 1, 1, 6x6, 0.20789451, 0.101523035, 0.11515032
10, 4096, 2, 1, 1, 6x6, 0.210927284, 0.103659518, 0.115850523
11, 4096, 2, 1, 1, 6x6, 0.209305826, 0.100855565, 0.11391266
12, 4096, 2, 1, 1, 6x6, 0.210622021, 0.102242802, 0.114264979
13, 4096, 2, 1, 1, 6x6, 0.212442003, 0.103177163, 0.113478733
14, 4096, 2, 1, 1, 6x6, 0.211112371, 0.103066665, 0.114947615
15, 4096, 2, 1, 1, 6x6, 0.208759774, 0.100865266, 0.113664116
16, 4096, 2, 1, 1, 6x6, 0.20885208, 0.100752152, 0.114139246
17, 4096, 2, 1, 1, 6x6, 0.209468407, 0.100967246, 0.113652445
18, 4096, 2, 1, 1, 6x6, 0.208390098, 0.100357652, 0.113589887
19, 4096, 2, 1, 1, 6x6, 0.207764678, 0.099986641, 0.112936229
20, 4096, 2, 1, 1, 6x6, 0.209280163, 0.101022817, 0.113598477
21, 4096, 2, 1, 1, 6x6, 0.210683363, 0.102343564, 0.113930155
22, 4096, 2, 1, 1, 6x6, 0.208282818, 0.100154415, 0.113650849
23, 4096, 2, 1, 1, 6x6, 0.208975878, 0.100612618, 0.114079578
24, 4096, 2, 1, 1, 6x6, 0.209506068, 0.101412616, 0.113576943
25, 4096, 2, 1, 1, 6x6, 0.210971566, 0.102673166, 0.113645945
26, 4096, 2, 1, 1, 6x6, 0.207743124, 0.099604546, 0.113384048
27, 4096, 2, 1, 1, 6x6, 0.210130043, 0.102157185, 0.114983005
28, 4096, 2, 1, 1, 6x6, 0.206891288, 0.099446063, 0.11279912
29, 4096, 2, 1, 1, 6x6, 0.2056234, 0.099510933, 0.112170635
