rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 8, 4, 1, 1, 3x3, 7.9184e-05, 2.754e-05, 1.007e-06
1, 8, 4, 1, 1, 3x3, 7.6563e-05, 1.4386e-05, 1.635e-06
2, 8, 4, 1, 1, 3x3, 8.3398e-05, 2.385e-05, 1.082e-06
3, 8, 4, 1, 1, 3x3, 5.9108e-05, 1.3393e-05, 8.39e-07
4, 8, 4, 1, 1, 3x3, 5.8984e-05, 1.3035e-05, 1.525e-06
5, 8, 4, 1, 1, 3x3, 6.2096e-05, 1.3282e-05, 9.54e-07
6, 8, 4, 1, 1, 3x3, 5.9893e-05, 1.3941e-05, 9.77e-07
7, 8, 4, 1, 1, 3x3, 6.1583e-05, 1.3654e-05, 7.47e-07
8, 8, 4, 1, 1, 3x3, 6.1287e-05, 1.5814e-05, 1.027e-06
9, 8, 4, 1, 1, 3x3, 5.7386e-05, 1.3475e-05, 9.09e-07
10, 8, 4, 1, 1, 3x3, 7.1911e-05, 2.5718e-05, 7.31e-07
11, 8, 4, 1, 1, 3x3, 6.0588e-05, 1.4576e-05, 1.57e-06
12, 8, 4, 1, 1, 3x3, 6.4767e-05, 1.3244e-05, 9.97e-07
13, 8, 4, 1, 1, 3x3, 5.6566e-05, 1.3964e-05, 9.59e-07
14, 8, 4, 1, 1, 3x3, 5.7422e-05, 1.3811e-05, 9.26e-07
15, 8, 4, 1, 1, 3x3, 5.622e-05, 2.1197e-05, 6.81e-07
16, 8, 4, 1, 1, 3x3, 6.0081e-05, 1.4164e-05, 6.64e-07
17, 8, 4, 1, 1, 3x3, 5.6335e-05, 1.5834e-05, 6.33e-07
18, 8, 4, 1, 1, 3x3, 5.3853e-05, 1.1165e-05, 1.535e-06
19, 8, 4, 1, 1, 3x3, 5.8867e-05, 1.5813e-05, 1.32e-06
20, 8, 4, 1, 1, 3x3, 5.4654e-05, 1.1858e-05, 6.16e-07
21, 8, 4, 1, 1, 3x3, 5.6487e-05, 1.3212e-05, 1.684e-06
22, 8, 4, 1, 1, 3x3, 5.4101e-05, 1.1361e-05, 1.091e-06
23, 8, 4, 1, 1, 3x3, 5.3866e-05, 1.2673e-05, 8.74e-07
24, 8, 4, 1, 1, 3x3, 5.5657e-05, 1.1825e-05, 7.92e-07
25, 8, 4, 1, 1, 3x3, 5.4598e-05, 1.1322e-05, 8.93e-07
26, 8, 4, 1, 1, 3x3, 5.2826e-05, 1.1066e-05, 7.27e-07
27, 8, 4, 1, 1, 3x3, 5.2177e-05, 1.0287e-05, 8.44e-07
28, 8, 4, 1, 1, 3x3, 5.5445e-05, 1.2826e-05, 8.95e-07
29, 8, 4, 1, 1, 3x3, 5.3741e-05, 1.2122e-05, 7.38e-07
