rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 8, 2, 1, 1, 2x2, 4.8038e-05, 1.2548e-05, 2.549e-06
1, 8, 2, 1, 1, 2x2, 5.0368e-05, 1.435e-05, 1.311e-06
2, 8, 2, 1, 1, 2x2, 4.2828e-05, 7.944e-06, 1.877e-06
3, 8, 2, 1, 1, 2x2, 5.0127e-05, 1.2914e-05, 2.068e-06
4, 8, 2, 1, 1, 2x2, 4.3254e-05, 8.376e-06, 1.58e-06
5, 8, 2, 1, 1, 2x2, 4.206e-05, 6.914e-06, 1.409e-06
6, 8, 2, 1, 1, 2x2, 4.0556e-05, 7.429e-06, 1.594e-06
7, 8, 2, 1, 1, 2x2, 3.969e-05, 6.343e-06, 1.407e-06
8, 8, 2, 1, 1, 2x2, 4.3966e-05, 1.0792e-05, 1.326e-06
9, 8, 2, 1, 1, 2x2, 5.3432e-05, 1.037e-05, 1.974e-06
10, 8, 2, 1, 1, 2x2, 5.9157e-05, 1.845e-05, 1.965e-06
11, 8, 2, 1, 1, 2x2, 4.3755e-05, 7.165e-06, 1.635e-06
12, 8, 2, 1, 1, 2x2, 3.9723e-05, 8.569e-06, 1.728e-06
13, 8, 2, 1, 1, 2x2, 4.0811e-05, 7.356e-06, 1.741e-06
14, 8, 2, 1, 1, 2x2, 4.1961e-05, 8.57e-06, 1.721e-06
15, 8, 2, 1, 1, 2x2, 4.0927e-05, 8.127e-06, 2.319e-06
16, 8, 2, 1, 1, 2x2, 4.4377e-05, 7.801e-06, 2.383e-06
17, 8, 2, 1, 1, 2x2, 6.6857e-05, 1.0546e-05, 4.084e-06
18, 8, 2, 1, 1, 2x2, 0.00018496, 1.9195e-05, 1.929e-06
19, 8, 2, 1, 1, 2x2, 4.4769e-05, 1.0502e-05, 1.819e-06
20, 8, 2, 1, 1, 2x2, 4.1712e-05, 8.444e-06, 1.893e-06
21, 8, 2, 1, 1, 2x2, 3.9984e-05, 7.519e-06, 1.416e-06
22, 8, 2, 1, 1, 2x2, 4.2276e-05, 7.731e-06, 2.76e-06
23, 8, 2, 1, 1, 2x2, 4.0744e-05, 8.31e-06, 1.438e-06
24, 8, 2, 1, 1, 2x2, 4.1175e-05, 8.271e-06, 1.842e-06
25, 8, 2, 1, 1, 2x2, 4.0806e-05, 7.147e-06, 1.912e-06
26, 8, 2, 1, 1, 2x2, 4.2955e-05, 1.013e-05, 1.589e-06
27, 8, 2, 1, 1, 2x2, 4.2268e-05, 7.283e-06, 1.889e-06
28, 8, 2, 1, 1, 2x2, 4.3017e-05, 1.0067e-05, 2.961e-06
29, 8, 2, 1, 1, 2x2, 4.3144e-05, 9.346e-06, 1.948e-06
