rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 16, 16, 1, 1, 2x2, 4.7922e-05, 8.495e-06, 7.85e-07
1, 16, 16, 1, 1, 2x2, 4.0517e-05, 9.917e-06, 6.67e-07
2, 16, 16, 1, 1, 2x2, 3.4332e-05, 6.341e-06, 7.17e-07
3, 16, 16, 1, 1, 2x2, 4.055e-05, 8.781e-06, 6.93e-07
4, 16, 16, 1, 1, 2x2, 3.5182e-05, 6.527e-06, 6.67e-07
5, 16, 16, 1, 1, 2x2, 3.311e-05, 5.4e-06, 6.82e-07
6, 16, 16, 1, 1, 2x2, 3.5053e-05, 5.919e-06, 8.31e-07
7, 16, 16, 1, 1, 2x2, 3.2248e-05, 6.284e-06, 6.58e-07
8, 16, 16, 1, 1, 2x2, 3.4303e-05, 6.587e-06, 7.15e-07
9, 16, 16, 1, 1, 2x2, 3.3527e-05, 6.448e-06, 6.36e-07
10, 16, 16, 1, 1, 2x2, 3.2914e-05, 6.214e-06, 8.61e-07
11, 16, 16, 1, 1, 2x2, 3.3173e-05, 6.719e-06, 5.95e-07
12, 16, 16, 1, 1, 2x2, 3.4017e-05, 6.498e-06, 8.53e-07
13, 16, 16, 1, 1, 2x2, 3.3411e-05, 6.976e-06, 7.95e-07
14, 16, 16, 1, 1, 2x2, 3.405e-05, 5.721e-06, 7.95e-07
15, 16, 16, 1, 1, 2x2, 3.3269e-05, 6.24e-06, 7.85e-07
16, 16, 16, 1, 1, 2x2, 3.4015e-05, 6.237e-06, 8.48e-07
17, 16, 16, 1, 1, 2x2, 4.6836e-05, 1.9626e-05, 6.87e-07
18, 16, 16, 1, 1, 2x2, 3.4288e-05, 6.381e-06, 6.84e-07
19, 16, 16, 1, 1, 2x2, 3.3032e-05, 6.207e-06, 7.52e-07
20, 16, 16, 1, 1, 2x2, 3.2436e-05, 5.386e-06, 7.09e-07
21, 16, 16, 1, 1, 2x2, 3.3618e-05, 6.022e-06, 6.7e-07
22, 16, 16, 1, 1, 2x2, 3.4833e-05, 6.302e-06, 7.81e-07
23, 16, 16, 1, 1, 2x2, 3.3485e-05, 6.047e-06, 7.03e-07
24, 16, 16, 1, 1, 2x2, 3.3636e-05, 6.165e-06, 8.02e-07
25, 16, 16, 1, 1, 2x2, 3.2325e-05, 6.575e-06, 7.48e-07
26, 16, 16, 1, 1, 2x2, 3.5364e-05, 6.556e-06, 8.52e-07
27, 16, 16, 1, 1, 2x2, 3.2693e-05, 6.035e-06, 7.26e-07
28, 16, 16, 1, 1, 2x2, 3.2917e-05, 5.66e-06, 7.33e-07
29, 16, 16, 1, 1, 2x2, 3.2302e-05, 6.873e-06, 7.36e-07
