rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 1024, 512, 1, 1, 3x3, 0.009512807, 0.006099135, 0.003485372
1, 1024, 512, 1, 1, 3x3, 0.009647386, 0.006230378, 0.003504615
2, 1024, 512, 1, 1, 3x3, 0.009728781, 0.006301317, 0.003497399
3, 1024, 512, 1, 1, 3x3, 0.00963511, 0.006200878, 0.003491888
4, 1024, 512, 1, 1, 3x3, 0.009707091, 0.006255434, 0.003502182
5, 1024, 512, 1, 1, 3x3, 0.009682185, 0.006247114, 0.003505125
6, 1024, 512, 1, 1, 3x3, 0.009675393, 0.006248908, 0.003498253
7, 1024, 512, 1, 1, 3x3, 0.009607507, 0.006170514, 0.003498312
8, 1024, 512, 1, 1, 3x3, 0.009607147, 0.006186438, 0.003481885
9, 1024, 512, 1, 1, 3x3, 0.009478991, 0.006069606, 0.003476476
10, 1024, 512, 1, 1, 3x3, 0.009550904, 0.006036463, 0.003487268
11, 1024, 512, 1, 1, 3x3, 0.009694732, 0.006247919, 0.00349912
12, 1024, 512, 1, 1, 3x3, 0.009656231, 0.006157162, 0.003483914
13, 1024, 512, 1, 1, 3x3, 0.009613269, 0.006193568, 0.003501598
14, 1024, 512, 1, 1, 3x3, 0.009670236, 0.006223074, 0.003492005
15, 1024, 512, 1, 1, 3x3, 0.009651673, 0.006185458, 0.003502276
16, 1024, 512, 1, 1, 3x3, 0.009607476, 0.006187179, 0.003514245
17, 1024, 512, 1, 1, 3x3, 0.012471356, 0.00871556, 0.003498559
18, 1024, 512, 1, 1, 3x3, 0.009668339, 0.006258744, 0.003484028
19, 1024, 512, 1, 1, 3x3, 0.00955717, 0.006141328, 0.003482227
20, 1024, 512, 1, 1, 3x3, 0.009617419, 0.006213171, 0.003500639
21, 1024, 512, 1, 1, 3x3, 0.009688346, 0.006247857, 0.003499445
22, 1024, 512, 1, 1, 3x3, 0.009815781, 0.006408649, 0.003499617
23, 1024, 512, 1, 1, 3x3, 0.009709264, 0.006289079, 0.003513583
24, 1024, 512, 1, 1, 3x3, 0.009711676, 0.006284711, 0.003480292
25, 1024, 512, 1, 1, 3x3, 0.009630888, 0.006147859, 0.003486922
26, 1024, 512, 1, 1, 3x3, 0.009712847, 0.006294224, 0.00350672
27, 1024, 512, 1, 1, 3x3, 0.009731728, 0.006247377, 0.003500386
28, 1024, 512, 1, 1, 3x3, 0.009706763, 0.00619184, 0.003490721
29, 1024, 512, 1, 1, 3x3, 0.009644785, 0.006203577, 0.003492839
