rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 16, 8, 1, 1, 5x5, 0.000145934, 7.9696e-05, 1.844e-06
1, 16, 8, 1, 1, 5x5, 0.000108367, 3.9347e-05, 2.339e-06
2, 16, 8, 1, 1, 5x5, 0.000183714, 9.5037e-05, 2.685e-06
3, 16, 8, 1, 1, 5x5, 9.6022e-05, 3.7873e-05, 2.666e-06
4, 16, 8, 1, 1, 5x5, 0.000102261, 3.5212e-05, 3.181e-06
5, 16, 8, 1, 1, 5x5, 9.9357e-05, 4.4704e-05, 2.21e-06
6, 16, 8, 1, 1, 5x5, 8.9265e-05, 3.5102e-05, 3.704e-06
7, 16, 8, 1, 1, 5x5, 9.0962e-05, 3.7869e-05, 2.48e-06
8, 16, 8, 1, 1, 5x5, 0.000110723, 4.5975e-05, 2.374e-06
9, 16, 8, 1, 1, 5x5, 9.9275e-05, 4.51e-05, 2.126e-06
10, 16, 8, 1, 1, 5x5, 0.000180552, 0.000127056, 2.38e-06
11, 16, 8, 1, 1, 5x5, 0.000106569, 5.01e-05, 2.695e-06
12, 16, 8, 1, 1, 5x5, 9.2423e-05, 3.6815e-05, 2.505e-06
13, 16, 8, 1, 1, 5x5, 8.4635e-05, 3.0118e-05, 2.935e-06
14, 16, 8, 1, 1, 5x5, 8.2869e-05, 2.7717e-05, 3.04e-06
15, 16, 8, 1, 1, 5x5, 8.4625e-05, 2.7986e-05, 2.747e-06
16, 16, 8, 1, 1, 5x5, 0.000111341, 3.2656e-05, 2.463e-06
17, 16, 8, 1, 1, 5x5, 8.9991e-05, 3.5018e-05, 2.132e-06
18, 16, 8, 1, 1, 5x5, 8.7088e-05, 3.3414e-05, 2.72e-06
19, 16, 8, 1, 1, 5x5, 8.6258e-05, 3.1376e-05, 1.993e-06
20, 16, 8, 1, 1, 5x5, 8.5381e-05, 3.0383e-05, 1.803e-06
21, 16, 8, 1, 1, 5x5, 8.19e-05, 2.7707e-05, 1.845e-06
22, 16, 8, 1, 1, 5x5, 7.7801e-05, 2.3589e-05, 2.067e-06
23, 16, 8, 1, 1, 5x5, 8.0061e-05, 2.5134e-05, 2.157e-06
24, 16, 8, 1, 1, 5x5, 8.057e-05, 2.5064e-05, 2.017e-06
25, 16, 8, 1, 1, 5x5, 8.2682e-05, 2.6898e-05, 1.898e-06
26, 16, 8, 1, 1, 5x5, 9.4506e-05, 3.1202e-05, 2.101e-06
27, 16, 8, 1, 1, 5x5, 0.000103035, 4.6514e-05, 2.537e-06
28, 16, 8, 1, 1, 5x5, 9.1631e-05, 3.6404e-05, 2.503e-06
29, 16, 8, 1, 1, 5x5, 9.1922e-05, 3.8658e-05, 2.661e-06
