rep_id, size, block_size, BLAS, MPI, grid, time
0, 256, 64, 0, 0, 1x1, 0.002221009
1, 256, 64, 0, 0, 1x1, 0.002197906
2, 256, 64, 0, 0, 1x1, 0.002218273
3, 256, 64, 0, 0, 1x1, 0.002110231
4, 256, 64, 0, 0, 1x1, 0.002104721
5, 256, 64, 0, 0, 1x1, 0.002108999
6, 256, 64, 0, 0, 1x1, 0.002113828
7, 256, 64, 0, 0, 1x1, 0.002106353
8, 256, 64, 0, 0, 1x1, 0.002107906
9, 256, 64, 0, 0, 1x1, 0.002122544
10, 256, 64, 0, 0, 1x1, 0.002134456
11, 256, 64, 0, 0, 1x1, 0.002139846
12, 256, 64, 0, 0, 1x1, 0.00223784
13, 256, 64, 0, 0, 1x1, 0.002321407
14, 256, 64, 0, 0, 1x1, 0.002296821
15, 256, 64, 0, 0, 1x1, 0.002138444
16, 256, 64, 0, 0, 1x1, 0.002172087
17, 256, 64, 0, 0, 1x1, 0.002144946
18, 256, 64, 0, 0, 1x1, 0.002129006
19, 256, 64, 0, 0, 1x1, 0.002288986
20, 256, 64, 0, 0, 1x1, 0.002352785
21, 256, 64, 0, 0, 1x1, 0.002299366
22, 256, 64, 0, 0, 1x1, 0.002111774
23, 256, 64, 0, 0, 1x1, 0.002156427
24, 256, 64, 0, 0, 1x1, 0.002126551
25, 256, 64, 0, 0, 1x1, 0.002150386
26, 256, 64, 0, 0, 1x1, 0.002161708
27, 256, 64, 0, 0, 1x1, 0.002227781
28, 256, 64, 0, 0, 1x1, 0.002238341
29, 256, 64, 0, 0, 1x1, 0.002278526
